LSTM Model Training Log
============================================================

Device: cpu
Input size: 10
Hidden size: 64
Number of layers: 2
Output size: 1
Learning rate: 0.001
Batch size: 32
Number of epochs: 100
Training samples: 563
Test samples: 133

============================================================

Training Progress:
------------------------------------------------------------
Epoch [1/100], Train Loss: 0.001053, Test Loss: 0.000505
Epoch [2/100], Train Loss: 0.000308, Test Loss: 0.000257
Epoch [3/100], Train Loss: 0.000274, Test Loss: 0.000256
Epoch [4/100], Train Loss: 0.000271, Test Loss: 0.000256
Epoch [5/100], Train Loss: 0.000273, Test Loss: 0.000257
Epoch [6/100], Train Loss: 0.000281, Test Loss: 0.000257
Epoch [7/100], Train Loss: 0.000272, Test Loss: 0.000257
Epoch [8/100], Train Loss: 0.000276, Test Loss: 0.000267
Epoch [9/100], Train Loss: 0.000293, Test Loss: 0.000258
Epoch [10/100], Train Loss: 0.000277, Test Loss: 0.000259
Epoch [11/100], Train Loss: 0.000269, Test Loss: 0.000282
Epoch [12/100], Train Loss: 0.000280, Test Loss: 0.000259
Epoch [13/100], Train Loss: 0.000269, Test Loss: 0.000267
Epoch [14/100], Train Loss: 0.000294, Test Loss: 0.000275
Epoch [15/100], Train Loss: 0.000274, Test Loss: 0.000265
Epoch [16/100], Train Loss: 0.000267, Test Loss: 0.000272
Epoch [17/100], Train Loss: 0.000289, Test Loss: 0.000261
Epoch [18/100], Train Loss: 0.000273, Test Loss: 0.000322
Epoch [19/100], Train Loss: 0.000294, Test Loss: 0.000264
Epoch [20/100], Train Loss: 0.000272, Test Loss: 0.000298
Epoch [21/100], Train Loss: 0.000272, Test Loss: 0.000262
Epoch [22/100], Train Loss: 0.000270, Test Loss: 0.000262
Epoch [23/100], Train Loss: 0.000287, Test Loss: 0.000264
Epoch [24/100], Train Loss: 0.000263, Test Loss: 0.000271
Epoch [25/100], Train Loss: 0.000265, Test Loss: 0.000279
Epoch [26/100], Train Loss: 0.000312, Test Loss: 0.000266
Epoch [27/100], Train Loss: 0.000264, Test Loss: 0.000265
Epoch [28/100], Train Loss: 0.000270, Test Loss: 0.000268
Epoch [29/100], Train Loss: 0.000272, Test Loss: 0.000269
Epoch [30/100], Train Loss: 0.000266, Test Loss: 0.000270
Epoch [31/100], Train Loss: 0.000286, Test Loss: 0.000278
Epoch [32/100], Train Loss: 0.000273, Test Loss: 0.000269
Epoch [33/100], Train Loss: 0.000271, Test Loss: 0.000278
Epoch [34/100], Train Loss: 0.000274, Test Loss: 0.000275
Epoch [35/100], Train Loss: 0.000259, Test Loss: 0.000280
Epoch [36/100], Train Loss: 0.000266, Test Loss: 0.000286
Epoch [37/100], Train Loss: 0.000260, Test Loss: 0.000280
Epoch [38/100], Train Loss: 0.000260, Test Loss: 0.000280
Epoch [39/100], Train Loss: 0.000250, Test Loss: 0.000288
Epoch [40/100], Train Loss: 0.000257, Test Loss: 0.000286
Epoch [41/100], Train Loss: 0.000251, Test Loss: 0.000294
Epoch [42/100], Train Loss: 0.000259, Test Loss: 0.000309
Epoch [43/100], Train Loss: 0.000255, Test Loss: 0.000312
Epoch [44/100], Train Loss: 0.000251, Test Loss: 0.000305
Epoch [45/100], Train Loss: 0.000247, Test Loss: 0.000308
Epoch [46/100], Train Loss: 0.000247, Test Loss: 0.000313
Epoch [47/100], Train Loss: 0.000239, Test Loss: 0.000313
Epoch [48/100], Train Loss: 0.000244, Test Loss: 0.000311
Epoch [49/100], Train Loss: 0.000234, Test Loss: 0.000324
Epoch [50/100], Train Loss: 0.000236, Test Loss: 0.000327
Epoch [51/100], Train Loss: 0.000234, Test Loss: 0.000326
Epoch [52/100], Train Loss: 0.000234, Test Loss: 0.000320
Epoch [53/100], Train Loss: 0.000247, Test Loss: 0.000339
Epoch [54/100], Train Loss: 0.000246, Test Loss: 0.000322
Epoch [55/100], Train Loss: 0.000223, Test Loss: 0.000318
Epoch [56/100], Train Loss: 0.000221, Test Loss: 0.000315
Epoch [57/100], Train Loss: 0.000224, Test Loss: 0.000316
Epoch [58/100], Train Loss: 0.000220, Test Loss: 0.000314
Epoch [59/100], Train Loss: 0.000222, Test Loss: 0.000313
Epoch [60/100], Train Loss: 0.000225, Test Loss: 0.000353
Epoch [61/100], Train Loss: 0.000231, Test Loss: 0.000330
Epoch [62/100], Train Loss: 0.000233, Test Loss: 0.000315
Epoch [63/100], Train Loss: 0.000216, Test Loss: 0.000310
Epoch [64/100], Train Loss: 0.000215, Test Loss: 0.000303
Epoch [65/100], Train Loss: 0.000218, Test Loss: 0.000299
Epoch [66/100], Train Loss: 0.000229, Test Loss: 0.000329
Epoch [67/100], Train Loss: 0.000219, Test Loss: 0.000313
Epoch [68/100], Train Loss: 0.000215, Test Loss: 0.000297
Epoch [69/100], Train Loss: 0.000220, Test Loss: 0.000314
Epoch [70/100], Train Loss: 0.000214, Test Loss: 0.000298
Epoch [71/100], Train Loss: 0.000223, Test Loss: 0.000314
Epoch [72/100], Train Loss: 0.000217, Test Loss: 0.000304
Epoch [73/100], Train Loss: 0.000216, Test Loss: 0.000310
Epoch [74/100], Train Loss: 0.000210, Test Loss: 0.000307
Epoch [75/100], Train Loss: 0.000223, Test Loss: 0.000292
Epoch [76/100], Train Loss: 0.000220, Test Loss: 0.000311
Epoch [77/100], Train Loss: 0.000214, Test Loss: 0.000294
Epoch [78/100], Train Loss: 0.000214, Test Loss: 0.000307
Epoch [79/100], Train Loss: 0.000221, Test Loss: 0.000298
Epoch [80/100], Train Loss: 0.000209, Test Loss: 0.000311
Epoch [81/100], Train Loss: 0.000218, Test Loss: 0.000287
Epoch [82/100], Train Loss: 0.000220, Test Loss: 0.000301
Epoch [83/100], Train Loss: 0.000216, Test Loss: 0.000300
Epoch [84/100], Train Loss: 0.000228, Test Loss: 0.000337
Epoch [85/100], Train Loss: 0.000214, Test Loss: 0.000324
Epoch [86/100], Train Loss: 0.000224, Test Loss: 0.000298
Epoch [87/100], Train Loss: 0.000212, Test Loss: 0.000286
Epoch [88/100], Train Loss: 0.000211, Test Loss: 0.000298
Epoch [89/100], Train Loss: 0.000217, Test Loss: 0.000309
Epoch [90/100], Train Loss: 0.000215, Test Loss: 0.000283
Epoch [91/100], Train Loss: 0.000215, Test Loss: 0.000295
Epoch [92/100], Train Loss: 0.000207, Test Loss: 0.000288
Epoch [93/100], Train Loss: 0.000202, Test Loss: 0.000293
Epoch [94/100], Train Loss: 0.000206, Test Loss: 0.000290
Epoch [95/100], Train Loss: 0.000204, Test Loss: 0.000291
Epoch [96/100], Train Loss: 0.000203, Test Loss: 0.000292
Epoch [97/100], Train Loss: 0.000211, Test Loss: 0.000293
Epoch [98/100], Train Loss: 0.000215, Test Loss: 0.000297
Epoch [99/100], Train Loss: 0.000206, Test Loss: 0.000298
Epoch [100/100], Train Loss: 0.000208, Test Loss: 0.000275

============================================================
Training Summary:
------------------------------------------------------------
Final Train Loss: 0.000208
Final Test Loss: 0.000275
Best Train Loss: 0.000202 (Epoch 93)
Best Test Loss: 0.000256 (Epoch 3)
