Improved LSTM Model Training Log
============================================================

Changes from previous model:
  - Hidden size: 64 → 32
  - Num layers: 2 → 1
  - Dropout: 0.2 → 0.3
  - Added L2 regularization: 1e-5
  - Early stopping: patience = 20

============================================================

Training Progress:
------------------------------------------------------------
Epoch [1/200], Train Loss: 0.000689, Test Loss: 0.000278
Epoch [2/200], Train Loss: 0.000483, Test Loss: 0.000262
Epoch [3/200], Train Loss: 0.000389, Test Loss: 0.000254
Epoch [4/200], Train Loss: 0.000368, Test Loss: 0.000264
Epoch [5/200], Train Loss: 0.000337, Test Loss: 0.000265
Epoch [6/200], Train Loss: 0.000302, Test Loss: 0.000254
Epoch [7/200], Train Loss: 0.000294, Test Loss: 0.000257
Epoch [8/200], Train Loss: 0.000275, Test Loss: 0.000251
Epoch [9/200], Train Loss: 0.000275, Test Loss: 0.000253
Epoch [10/200], Train Loss: 0.000262, Test Loss: 0.000248
Epoch [11/200], Train Loss: 0.000284, Test Loss: 0.000249
Epoch [12/200], Train Loss: 0.000274, Test Loss: 0.000248
Epoch [13/200], Train Loss: 0.000273, Test Loss: 0.000249
Epoch [14/200], Train Loss: 0.000274, Test Loss: 0.000252
Epoch [15/200], Train Loss: 0.000271, Test Loss: 0.000250
Epoch [16/200], Train Loss: 0.000269, Test Loss: 0.000249
Epoch [17/200], Train Loss: 0.000271, Test Loss: 0.000250
Epoch [18/200], Train Loss: 0.000268, Test Loss: 0.000249
Epoch [19/200], Train Loss: 0.000271, Test Loss: 0.000248
Epoch [20/200], Train Loss: 0.000264, Test Loss: 0.000248
Epoch [21/200], Train Loss: 0.000306, Test Loss: 0.000249
Epoch [22/200], Train Loss: 0.000270, Test Loss: 0.000248
Epoch [23/200], Train Loss: 0.000277, Test Loss: 0.000249
Epoch [24/200], Train Loss: 0.000275, Test Loss: 0.000249
Epoch [25/200], Train Loss: 0.000270, Test Loss: 0.000249
Epoch [26/200], Train Loss: 0.000285, Test Loss: 0.000248
Epoch [27/200], Train Loss: 0.000318, Test Loss: 0.000248
Epoch [28/200], Train Loss: 0.000351, Test Loss: 0.000249
Epoch [29/200], Train Loss: 0.000270, Test Loss: 0.000249
Epoch [30/200], Train Loss: 0.000282, Test Loss: 0.000250
Epoch [31/200], Train Loss: 0.000272, Test Loss: 0.000248
Epoch [32/200], Train Loss: 0.000266, Test Loss: 0.000251
Epoch [33/200], Train Loss: 0.000262, Test Loss: 0.000249
Epoch [34/200], Train Loss: 0.000263, Test Loss: 0.000250
Epoch [35/200], Train Loss: 0.000297, Test Loss: 0.000248
Epoch [36/200], Train Loss: 0.000270, Test Loss: 0.000250
Epoch [37/200], Train Loss: 0.000279, Test Loss: 0.000249
Epoch [38/200], Train Loss: 0.000267, Test Loss: 0.000248
Epoch [39/200], Train Loss: 0.000287, Test Loss: 0.000248
Epoch [40/200], Train Loss: 0.000288, Test Loss: 0.000250
Epoch [41/200], Train Loss: 0.000309, Test Loss: 0.000248
Epoch [42/200], Train Loss: 0.000270, Test Loss: 0.000249
Epoch [43/200], Train Loss: 0.000268, Test Loss: 0.000250
Epoch [44/200], Train Loss: 0.000268, Test Loss: 0.000248
Epoch [45/200], Train Loss: 0.000270, Test Loss: 0.000249
Epoch [46/200], Train Loss: 0.000268, Test Loss: 0.000248
Epoch [47/200], Train Loss: 0.000270, Test Loss: 0.000250
Epoch [48/200], Train Loss: 0.000278, Test Loss: 0.000248
Epoch [49/200], Train Loss: 0.000269, Test Loss: 0.000251
Epoch [50/200], Train Loss: 0.000266, Test Loss: 0.000248
Epoch [51/200], Train Loss: 0.000266, Test Loss: 0.000249
Epoch [52/200], Train Loss: 0.000267, Test Loss: 0.000248
Epoch [53/200], Train Loss: 0.000267, Test Loss: 0.000248
Epoch [54/200], Train Loss: 0.000269, Test Loss: 0.000247
Epoch [55/200], Train Loss: 0.000269, Test Loss: 0.000248
Epoch [56/200], Train Loss: 0.000275, Test Loss: 0.000248
Epoch [57/200], Train Loss: 0.000271, Test Loss: 0.000248
Epoch [58/200], Train Loss: 0.000290, Test Loss: 0.000249
Epoch [59/200], Train Loss: 0.000267, Test Loss: 0.000250
Epoch [60/200], Train Loss: 0.000282, Test Loss: 0.000248
Epoch [61/200], Train Loss: 0.000270, Test Loss: 0.000249
Epoch [62/200], Train Loss: 0.000312, Test Loss: 0.000248
Epoch [63/200], Train Loss: 0.000264, Test Loss: 0.000251
Epoch [64/200], Train Loss: 0.000268, Test Loss: 0.000248
