MLP Model Training Log
============================================================
hidden_dims: [256, 128, 64], dropout: 0.2
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,2.361016e-03,4.770468e-04,4.363106e-04
2,5.579535e-04,4.077254e-04,3.203522e-04
3,4.020460e-04,3.797683e-04,3.346377e-04
4,3.336245e-04,3.487870e-04,3.302166e-04
5,2.820825e-04,3.452614e-04,2.935154e-04
6,2.658493e-04,3.499432e-04,2.950399e-04
7,3.040471e-04,3.293558e-04,3.082897e-04
8,2.285929e-04,3.027969e-04,3.055748e-04
9,2.294326e-04,2.849253e-04,2.985816e-04
10,1.816352e-04,2.875023e-04,2.891486e-04
11,1.627432e-04,2.949451e-04,2.905596e-04
12,2.209778e-04,3.253611e-04,3.170744e-04
13,1.780990e-04,3.123682e-04,2.860057e-04
14,1.911231e-04,3.087597e-04,3.039215e-04
15,1.551368e-04,2.905868e-04,3.117779e-04
16,1.557465e-04,3.068055e-04,3.154359e-04
17,1.404837e-04,3.092941e-04,3.022451e-04
18,1.440511e-04,3.024894e-04,2.799696e-04
19,1.164575e-04,3.059166e-04,3.075468e-04
20,1.326368e-04,3.228457e-04,2.976505e-04
