TCN Model Training Log
============================================================
TCN channels: [32, 32, 32], kernel_size: 3, dropout: 0.3
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,7.656186e-02,2.246139e-02,1.514042e-02
2,2.178885e-02,1.695091e-02,9.648335e-03
3,1.583304e-02,1.128846e-02,6.602154e-03
4,8.149831e-03,7.074766e-03,4.843411e-03
5,6.986561e-03,4.549033e-03,3.371173e-03
6,4.051943e-03,3.152827e-03,2.242099e-03
7,4.923524e-03,1.960077e-03,1.606968e-03
8,4.012480e-03,1.438492e-03,1.125379e-03
9,1.577525e-03,9.307052e-04,6.335856e-04
10,1.342334e-03,6.027342e-04,4.178241e-04
11,1.434656e-03,4.504806e-04,3.656680e-04
12,7.037614e-04,3.660588e-04,3.187035e-04
13,1.023875e-03,3.443802e-04,3.058759e-04
14,5.599839e-04,3.015999e-04,2.762259e-04
15,1.265757e-03,2.913012e-04,2.694035e-04
16,5.343110e-04,2.892460e-04,2.683311e-04
17,7.225208e-04,2.928365e-04,2.703696e-04
18,4.135325e-04,2.827150e-04,2.649408e-04
19,3.535173e-04,2.776954e-04,2.627373e-04
20,4.313342e-04,2.706069e-04,2.607550e-04
