Transformer Model Training Log
============================================================
d_model: 64, heads: 4, layers: 3, ff: 128, dropout: 0.2
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,6.969532e-03,2.970748e-04,3.322992e-04
2,3.677771e-04,2.817777e-04,2.854252e-04
3,3.234384e-04,2.550637e-04,2.635597e-04
4,3.002649e-04,2.559554e-04,2.623973e-04
5,2.880215e-04,2.615943e-04,2.620581e-04
6,2.896603e-04,2.282899e-04,2.620794e-04
7,2.763415e-04,2.173722e-04,2.619535e-04
8,2.828796e-04,2.256154e-04,2.618981e-04
9,2.696034e-04,2.342651e-04,2.615291e-04
10,2.705548e-04,2.434410e-04,2.634554e-04
11,2.795456e-04,2.677253e-04,2.608577e-04
12,2.729178e-04,2.707834e-04,2.605288e-04
13,2.710347e-04,2.652763e-04,2.626700e-04
14,2.786797e-04,2.791215e-04,2.639339e-04
