Simple LSTM Model Training Log
============================================================

Model: Single layer LSTM with 16 hidden units
L2 regularization: 1e-4
Early stopping: patience = 20

============================================================

Training Progress:
------------------------------------------------------------
Epoch [1/200], Train Loss: 0.035849, Test Loss: 0.019066
Epoch [2/200], Train Loss: 0.008937, Test Loss: 0.001500
Epoch [3/200], Train Loss: 0.000588, Test Loss: 0.000572
Epoch [4/200], Train Loss: 0.000411, Test Loss: 0.000287
Epoch [5/200], Train Loss: 0.000292, Test Loss: 0.000258
Epoch [6/200], Train Loss: 0.000275, Test Loss: 0.000249
Epoch [7/200], Train Loss: 0.000269, Test Loss: 0.000258
Epoch [8/200], Train Loss: 0.000270, Test Loss: 0.000251
Epoch [9/200], Train Loss: 0.000265, Test Loss: 0.000255
Epoch [10/200], Train Loss: 0.000266, Test Loss: 0.000253
Epoch [11/200], Train Loss: 0.000270, Test Loss: 0.000253
Epoch [12/200], Train Loss: 0.000264, Test Loss: 0.000257
Epoch [13/200], Train Loss: 0.000264, Test Loss: 0.000253
Epoch [14/200], Train Loss: 0.000265, Test Loss: 0.000255
Epoch [15/200], Train Loss: 0.000270, Test Loss: 0.000255
Epoch [16/200], Train Loss: 0.000263, Test Loss: 0.000259
Epoch [17/200], Train Loss: 0.000264, Test Loss: 0.000256
Epoch [18/200], Train Loss: 0.000271, Test Loss: 0.000260
Epoch [19/200], Train Loss: 0.000275, Test Loss: 0.000258
Epoch [20/200], Train Loss: 0.000263, Test Loss: 0.000259
Epoch [21/200], Train Loss: 0.000262, Test Loss: 0.000261
Epoch [22/200], Train Loss: 0.000262, Test Loss: 0.000259
Epoch [23/200], Train Loss: 0.000266, Test Loss: 0.000259
Epoch [24/200], Train Loss: 0.000266, Test Loss: 0.000259
Epoch [25/200], Train Loss: 0.000260, Test Loss: 0.000260
Epoch [26/200], Train Loss: 0.000263, Test Loss: 0.000259
Epoch [27/200], Train Loss: 0.000266, Test Loss: 0.000261
Epoch [28/200], Train Loss: 0.000261, Test Loss: 0.000260
Epoch [29/200], Train Loss: 0.000260, Test Loss: 0.000263
Epoch [30/200], Train Loss: 0.000262, Test Loss: 0.000261
Epoch [31/200], Train Loss: 0.000260, Test Loss: 0.000261
Epoch [32/200], Train Loss: 0.000260, Test Loss: 0.000262
Epoch [33/200], Train Loss: 0.000262, Test Loss: 0.000262
Epoch [34/200], Train Loss: 0.000262, Test Loss: 0.000263
Epoch [35/200], Train Loss: 0.000262, Test Loss: 0.000263
Epoch [36/200], Train Loss: 0.000260, Test Loss: 0.000265
Epoch [37/200], Train Loss: 0.000265, Test Loss: 0.000261
Epoch [38/200], Train Loss: 0.000262, Test Loss: 0.000262
Epoch [39/200], Train Loss: 0.000273, Test Loss: 0.000261
Epoch [40/200], Train Loss: 0.000263, Test Loss: 0.000262
Epoch [41/200], Train Loss: 0.000260, Test Loss: 0.000262
Epoch [42/200], Train Loss: 0.000261, Test Loss: 0.000262
Epoch [43/200], Train Loss: 0.000262, Test Loss: 0.000262
Epoch [44/200], Train Loss: 0.000268, Test Loss: 0.000262
Epoch [45/200], Train Loss: 0.000262, Test Loss: 0.000263
