TCN Model Training Log
============================================================
TCN channels: [32, 32, 32], kernel_size: 3, dropout: 0.3
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,1.323108e-01,2.275839e-02,2.486278e-02
2,3.646027e-02,1.195948e-02,1.152963e-02
3,2.247124e-02,8.753135e-03,5.571388e-03
4,1.195754e-02,8.740523e-03,4.633137e-03
5,8.854248e-03,6.596639e-03,3.319549e-03
6,7.088380e-03,5.185321e-03,2.396199e-03
7,3.518803e-03,4.162928e-03,1.619035e-03
8,4.125341e-03,3.354048e-03,1.448794e-03
9,3.435767e-03,2.075964e-03,1.305829e-03
10,2.880916e-03,1.228748e-03,9.209774e-04
11,1.818955e-03,8.261212e-04,6.699192e-04
12,1.783576e-03,5.194073e-04,4.790458e-04
13,1.140233e-03,4.946592e-04,4.623451e-04
14,1.297867e-03,4.530179e-04,4.200090e-04
15,9.289086e-04,4.068372e-04,3.852999e-04
16,8.180755e-04,3.508135e-04,3.359839e-04
17,9.254070e-04,3.289904e-04,3.142981e-04
18,9.199429e-04,3.433072e-04,3.297630e-04
19,6.256258e-04,2.928316e-04,2.853668e-04
20,7.078505e-04,2.820613e-04,2.772825e-04
